INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT Kharagpur,Manufacturing Science (M. Tech in Industrial Engineering & Management),1143,SC
IIT Kharagpur,Metallurgical and Materials Engineering *,1147,SC
IIT Kharagpur,Manufacturing Engineering,1148,SC
IIT Madras,Naval Architecture & Ocean Engineering,1149,SC
IIT Madras,Engineering Design(Biomedical),1156,SC
IIT (BHU) Varanasi,Electrical Engineering,1157,OBC
IIT Kharagpur,Industrial Engineering (M. Tech in Industrial Engineering & Management),1171,SC
IIT Gandhinagar,Chemical Engineering,1178,SC
ISM Dhanbad,Computer Science & Engineering,1183,SC
ISM Dhanbad,Electrical Engineering,1202,SC
IIT Guwahati,Engineering Physics,1208,SC
IIT Kanpur,Chemical Engineering,1208,OBC
IIT Madras,Naval Architecture & Ocean Engineering *,1208,SC
ISM Dhanbad,Civil Engineering,1214,SC
IIT (BHU) Varanasi,Mathematics & Computing,1215,SC
IIT Kharagpur,Mining Engineering,1223,SC
IIT (BHU) Varanasi,Electronics Engineering,1225,OBC
IIT (BHU) Varanasi,Chemical Engineering,1226,SC
IIT Kharagpur,Mechanical Engineering,1231,GENERAL
IIT Delhi,Production Engineering,1237,OBC
IIT Bombay,Chemical Engineering,1240,GENERAL
IIT Roorkee,Civil Engineering,1241,OBC
IIT Hydrabad,Engineering Science,1245,SC
IIT Kharagpur,Quality Engineering Design& Manufacturing,1246,SC
IIT Kharagpur,Aerospace Engineering,1247,OBC
IIT Madras,Aerospace,1256,OBC
IIT Madras,Chemical Engineering,1259,OBC
IIT Kharagpur,Electrical Engineering *,1265,GENERAL
IIT Madras,Civil (any specialization),1283,OBC
ISM Dhanbad,Electronics & Communication Engineering,1284,SC
IIT Guwahati,Chemical Technology,1293,SC
IIT (BHU) Varanasi,Mechanical Engineering,1295,OBC
IIT Kharagpur,Mathematics & Computing,1298,SC
IIT Madras,Biological Engineering,1300,SC
IIT Madras,Civil (Infrastructural),1303,OBC
IIT Kharagpur,Chemical Engineering,1304,OBC
IIT Kanpur,Materials Science Engineering,1308,SC
IIT Delhi,Biochemical,1321,SC
ISM Dhanbad,Electronics & Instrumentation Engineering,1327,SC
IIT Delhi,Textile Technology,1332,SC
ISM Dhanbad,Chemical Engineering,1335,SC
IIT Patna,Chemical Science and Technology,1337,SC
IIT Roorkee,Electronics & Communication Engineering,1338,GENERAL
IIT Delhi,Chemical Engineering,1342,OBC
IIT Gandhinagar,Mechanical Engineering,1350,OBC
IIT Kharagpur,Ocean Engineering & Naval Architecture,1350,SC
IIT Kanpur,Mathematics & Scientific Computing,1353,SC
IIT Madras,Civil Engineering *,1357,OBC
IIT Guwahati,Mathematics Computing,1363,OBC
IIT Kharagpur,Biotechnology & Biochemical Engineering,1363,SC
IIT Roorkee,Metallurgical Engineering,1366,SC
IIT Kanpur,Physics,1369,SC
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,1371,OBC
IIT Bombay,Engineering Physics *,1371,GENERAL
IIT (BHU) Varanasi,Engineering Physics,1372,SC
IIT Madras,Electrical Engineering *,1379,GENERAL
IIT Kharagpur,Aerospace,1396,OBC
IIT Delhi,Chemical Engineering,1402,GENERAL
ISM Dhanbad,Petroleum Engineering,1410,SC
ISM Dhanbad,Mathematics & Computing,1411,SC
IIT Kharagpur,Ocean Engineering & Naval Architecture Engineering,1416,SC
