Restaurant_Name,URLs
Boteco - Restaurante Brasileiro,https://www.zomato.com/mumbai/boteco-restaurante-brasileiro-bandra-kurla-complex
Sai Veg World,https://www.zomato.com/mumbai/sai-veg-world-goregaon-east
Gold Coins Eatery & Bar,https://www.zomato.com/mumbai/gold-coins-eatery-bar-matunga-west
Jamjar Diner,https://www.zomato.com/mumbai/jamjar-diner-hill-road-bandra-west
Sin City,https://www.zomato.com/mumbai/sin-city-worli
Bhagwati Pav Bhaji,https://www.zomato.com/mumbai/bhagwati-pav-bhaji-kandivali-west
Zaffran,https://www.zomato.com/mumbai/zaffran-lower-parel
Vihara- The International By Tunga,https://www.zomato.com/mumbai/vihara-the-international-by-tunga-mahakali
JW Café - JW Marriott Mumbai Sahar,https://www.zomato.com/mumbai/jw-café-jw-marriott-mumbai-sahar-chakala
Esora,https://www.zomato.com/mumbai/esora-goregaon-east
The Flying Saucer,https://www.zomato.com/mumbai/the-flying-saucer-andheri-lokhandwala
Bachelorr's,https://www.zomato.com/mumbai/bachelorrs-chowpatty
The Fusion Kitchen,https://www.zomato.com/mumbai/the-fusion-kitchen-andheri-lokhandwala
True Tramm Trunk,https://www.zomato.com/mumbai/true-tramm-trunk-powai
Tipsy Gypsy,https://www.zomato.com/mumbai/tipsy-gypsy-veera-desai-area
Gustoso,https://www.zomato.com/mumbai/gustoso-khar
TYGR,https://www.zomato.com/mumbai/tygr-lower-parel
Opa! Bar & Cafe - Peninsula Grand Hotel,https://www.zomato.com/mumbai/opa-bar-cafe-peninsula-grand-hotel-sakinaka
Dark Temptations,https://www.zomato.com/mumbai/dark-temptations-marine-lines
The Belgian Waffle Co.,https://www.zomato.com/mumbai/the-belgian-waffle-co-chowpatty
Hearsch Bakery,https://www.zomato.com/mumbai/hearsch-bakery-hill-road-bandra-west
Maa Anjani Pav Bhaji Centre,https://www.zomato.com/mumbai/maa-anjani-pav-bhaji-centre-borivali-west
Juno's Pizza,https://www.zomato.com/mumbai/junos-pizza-lower-parel
Saptami - Holiday Inn,https://www.zomato.com/mumbai/saptami-holiday-inn-sakinaka
Shikara,https://www.zomato.com/mumbai/shikara-sanpada-navi-mumbai
Girgaon Katta,https://www.zomato.com/mumbai/girgaon-katta-1-borivali-west
The Bigg Small Cafe + Bar,https://www.zomato.com/mumbai/the-bigg-small-cafe-bar-sakinaka
Arya Bhavan,https://www.zomato.com/mumbai/arya-bhavan-matunga-east
Butter Chicken Factory,https://www.zomato.com/mumbai/butter-chicken-factory-pali-hill-bandra-west
Americano,https://www.zomato.com/mumbai/americano-fort
Burger King,https://www.zomato.com/mumbai/burger-king-marol
The Bandra Project by PizzaExpress,https://www.zomato.com/mumbai/the-bandra-project-by-pizzaexpress-pali-hill-bandra-west
Tantra,https://www.zomato.com/mumbai/tantra-chowpatty
MH-09 Shetkari,https://www.zomato.com/mumbai/mh-09-shetkari-panch-pakhadi-thane-west
Asian Town,https://www.zomato.com/mumbai/asian-town-fort
KFC,https://www.zomato.com/mumbai/kfc-powai
Gopala's Veg Kitchen,https://www.zomato.com/mumbai/gopalas-veg-kitchen-bhandup
The Sassy Spoon,https://www.zomato.com/mumbai/the-sassy-spoon-nariman-point
Farzi Cafe,https://www.zomato.com/mumbai/farzi-cafe-goregaon-east
The Union Bar & Eating House,https://www.zomato.com/mumbai/the-union-bar-eating-house-vashi-navi-mumbai
Global Culture,https://www.zomato.com/mumbai/global-culture-sanpada-navi-mumbai
Sheesha Sky Lounge,https://www.zomato.com/mumbai/sheesha-sky-lounge-veera-desai-area
Lake View Cafe - Renaissance Hotel,https://www.zomato.com/mumbai/lake-view-cafe-renaissance-hotel-1-powai
South Bombay Bar,https://www.zomato.com/mumbai/south-bombay-bar-worli
Flax,https://www.zomato.com/mumbai/flax-lower-parel
Kebabs And Curries Company,https://www.zomato.com/mumbai/kebabs-and-curries-company-kurla
Maffy's - Pan Arabian Bistro,https://www.zomato.com/mumbai/maffys-pan-arabian-bistro-colaba
Cafe Maaz,https://www.zomato.com/mumbai/cafe-maaz-bhandup
Cafe Heaven,https://www.zomato.com/mumbai/cafe-heaven-malad-west
Sandy's Den,https://www.zomato.com/mumbai/sandys-den-1-chembur
Rule 34,https://www.zomato.com/mumbai/rule-34-kandivali-west
Boulevard - The Orchid,https://www.zomato.com/mumbai/boulevard-the-orchid-vile-parle-east
Glass House,https://www.zomato.com/mumbai/glass-house-malad-west
